50.75,239274,2415,1605,5105,302646,3752,2357,7436
51.0,240351,2426,1611,5144,304574,3785,2380,7531
51.25,241416,2433,1621,5179,306448,3813,2404,7620
51.5,242537,2443,1630,5219,308365,3843,2424,7721
51.75,243620,2454,1638,5260,310285,3867,2443,7831
52.0,244710,2469,1644,5309,312237,3900,2461,7922
52.25,245785,2479,1656,5356,314117,3932,2494,8037
52.5,246857,2489,1663,5394,315973,3972,2513,8128
52.75,247903,2501,1668,5436,317855,3997,2536,8221
53.0,248943,2508,1677,5478,319847,4024,2558,8332
53.25,249941,2514,1686,5524,321773,4059,2577,8455
53.5,251009,2522,1692,5561,323805,4088,2605,8562
53.75,252094,2533,1700,5600,325805,4126,2627,8675
54.0,253155,2544,1702,5658,327756,4154,2644,8781
54.25,254229,2559,1708,5695,329739,4195,2670,8899
54.5,255305,2565,1718,5753,331783,4225,2692,9028
54.75,256367,2585,1726,5799,333726,4249,2709,9142
55.0,257403,2594,1736,5843,335704,4281,2732,9253
55.25,258487,2602,1747,5886,337687,4319,2756,9367
55.5,259515,2617,1751,5927,339708,4353,2787,9492
55.75,260585,2629,1761,5976,341767,4394,2816,9619
56.0,261611,2640,1769,6012,343768,4434,2840,9721
56.25,262609,2647,1773,6054,345816,4465,2862,9841
56.5,263656,2654,1780,6100,347841,4495,2878,9959
56.75,264693,2660,1785,6154,349884,4520,2891,10076
57.0,265714,2673,1793,6204,351923,4559,2913,10178
57.25,266755,2683,1800,6248,354052,4590,2939,10302
57.5,267777,2691,1804,6289,356080,4622,2962,10425
57.75,268782,2700,1811,6337,358170,4658,2986,10562
58.0,269836,2714,1820,6380,360302,4695,3009,10722
58.25,270893,2723,1824,6416,362404,4733,3026,10833
58.5,271932,2730,1831,6473,364443,4768,3049,10961
58.75,273023,2745,1841,6524,366519,4800,3074,11089
59.0,274009,2761,1846,6554,368538,4827,3099,11210
59.25,275015,2772,1850,6601,370600,4866,3129,11347
59.5,276044,2777,1859,6661,372625,4897,3156,11494
59.75,277075,2782,1866,6698,374687,4929,3187,11614
60.0,278074,2788,1877,6757,376720,4964,3208,11745
60.25,279077,2798,1887,6802,378727,4997,3230,11879
60.5,280069,2807,1894,6843,380850,5036,3256,12017
60.75,281091,2814,1899,6886,383071,5072,3281,12180
61.0,282124,2825,1904,6932,385151,5102,3305,12307
61.25,283163,2835,1911,6976,387312,5137,3335,12439
61.5,284209,2845,1918,7033,389462,5165,3362,12587
61.75,285228,2853,1932,7091,391624,5215,3381,12737
62.0,286195,2866,1942,7148,393765,5255,3407,12870
62.25,287223,2872,1949,7204,395947,5284,3434,13010
62.5,288221,2882,1956,7257,398088,5321,3455,13155
62.75,289255,2889,1968,7313,400206,5356,3475,13283
63.0,290269,2896,1977,7375,402380,5402,3510,13446
63.25,291297,2913,1989,7424,404483,5441,3539,13605
63.5,292322,2921,1992,7472,406697,5493,3570,13742
63.75,293324,2932,1996,7524,408825,5532,3589,13888
64.0,294362,2939,2003,7579,410998,5572,3615,14044
64.25,295394,2951,2012,7640,413132,5618,3638,14198
64.5,296371,2957,2016,7693,415287,5670,3666,14370
64.75,297358,2967,2018,7734,417449,5716,3697,14525
65.0,298377,2975,2028,7794,419715,5752,3730,14694
65.25,299392,2979,2040,7852,421974,5802,3765,14866
65.5,300422,2990,2044,7907,424187,5837,3793,15024
65.75,301430,3000,2047,7957,426433,5878,3821,15207
66.0,302475,3003,2050,8009,428673,5911,3847,15358
66.25,303499,3012,2057,8058,430832,5951,3872,15527
66.5,304522,3022,2067,8107,433109,5995,3899,15685
66.75,305527,3029,2072,8155,435274,6030,3927,15851
67.0,306466,3039,2075,8196,437550,6077,3951,16034
67.25,307509,3051,2083,8238,439864,6120,3978,16230
67.5,308497,3054,2090,8292,442074,6160,4007,16401
67.75,309568,3064,2099,8357,444348,6198,4038,16564
68.0,310652,3074,2114,8422,446611,6236,4063,16746
68.25,311664,3084,2120,8474,448850,6277,4082,16907
68.5,312665,3091,2126,8528,451081,6319,4112,17084
68.75,313608,3097,2133,8584,453339,6369,4133,17229
69.0,314629,3101,2138,8636,455646,6419,4173,17411
69.25,315654,3106,2143,8692,457951,6475,4201,17592
69.5,316612,3114,2148,8740,460230,6515,4232,17775
69.75,317597,3123,2152,8793,462455,6547,4259,17930
70.0,318640,3129,2157,8845,464713,6589,4285,18089
70.25,319612,3141,2165,8901,466971,6640,4318,18268
70.5,320575,3151,2167,8958,469255,6685,4352,18436
70.75,321561,3160,2174,9007,471507,6724,4380,18606
